Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/07/26,OPENING BALANCE,,01/07/26,,,475000.00
02/07/26,"NEFT DR-HDFC0000123-OFFICE RENT, JULY",N123456789,02/07/26,25000.00,,450000.00
03/07/26,UPI-SWIGGY-9876543210@ybl,UPI9876543210,03/07/26,1250.50,,448749.50
05/07/26,NEFT CR-ICIC0000456-SHARMA TEXTILES INV-2026-0041,N987654321,05/07/26,,150000.00,598749.50
09/07/26,"IMPS-KUMAR ENTERPRISES, INV-2026-0038",IMPS100234,09/07/26,,88500.00,687249.50
12/07/26,GST PAYMENT CPIN 26071200001234,CPIN0012345,12/07/26,64200.00,,623049.50
15/07/26,SALARY JULY 2026,SAL072026,15/07/26,312000.00,,311049.50
18/07/26,RTGS CR-SBIN0001234-MEHTA & CO INV-2026-0044,R2026071812,18/07/26,,245000.00,556049.50
22/07/26,BANK CHARGES - NEFT,CHG0722,22/07/26,177.00,,555872.50
26/07/26,UPI-AMAZON PAY-OFFICE SUPPLIES,UPI1122334455,26/07/26,8340.00,,547532.50
29/07/26,NEFT CR-UTIB0000789-PATEL LOGISTICS INV-2026-0045,N445566778,29/07/26,,132500.00,680032.50
31/07/26,CLOSING BALANCE,,31/07/26,,,680032.50
