Date,Narration,Chq./Ref.No.,Value Dt,Withdrawal Amt.,Deposit Amt.,Closing Balance
01/08/26,OPENING BALANCE,,01/08/26,,,"4,52,310.55"
03/08/26,"NEFT CR-SBIN0001234-VEDANTA TEXTILES PVT LTD-INV, KRT-2026-0184",N026080312345,03/08/26,,"1,18,000.00","5,70,310.55"
05/08/26,UPI-MEGHA STATIONERS-meghastationers@ybl-OFFICE SUPPLIES,UPI/620518274401,05/08/26,"4,720.00",,"5,65,590.55"
07/08/26,RTGS DR-HDFC0000123-KAVERI FACILITIES LLP-AUG RENT,HDFCR52026080700456,07/08/26,"1,85,000.00",,"3,80,590.55"
12/08/26,CHQ PAID-000114-SARASWATI PRINTWORKS,000114,12/08/26,"32,450.00",0.00,"3,48,140.55"
18/08/26,NEFT CR-ICIC0000456-HALDIA MARINE SERVICES LTD-RETAINER AUG,N026081898765,18/08/26,,"2,36,000.00","5,84,140.55"
21/08/26,IMPS-P2A-KRISHNAGIRI AGRO EXPORTS-INV KRT-2026-0191,IMPS/620921445566,21/08/26,,"88,500.00","6,72,640.55"
24/08/26,"ACH D- ""SIMHA INSURANCE BROKING"" -PREMIUM",ACHD26082400912,24/08/26,"14,160.00",,"6,58,480.55"
26/08/26,BANK CHARGES - RTGS/NEFT AUG 2026,,26/08/26,177.00,,"6,58,303.55"

,STATEMENT TOTAL,,,"2,36,507.00","4,42,500.00",
